halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.3559999999999999,261.44600000000003,159.83199999999999,1.6140000000000001,5.2469999999999999,446.54899999999998,446.54899999999998,746.73800000000006,5.3559999999999999,50.468000000000004,746.73800000000006
-4,188747.24300000007,297.27800000000002,7700.2250000000004,9293.5810000000001,9566.0840000000007,291.22399999999999,27623.042000000001,27622.814999999999,51529.114999999998,297.27800000000002,2997.8099999999999,51528.790999999997
-3,189424.3280000012,3294.491,9543.1589999999997,1481.451,4361.3389999999999,3533.5639999999999,28134.966,28134.488000000001,51288.103999999999,3137.424,5228.2309999999998,51287.110999999997
-2,187114.59799999942,4377.2200000000003,6812.0649999999996,5974.6499999999996,676.80200000000002,6529.3410000000003,27753.715,27752.808000000001,50672.262000000002,3039.7220000000002,2855.384,50670.629000000001
-1,188875.3449999995,4039.6869999999999,3483.8820000000001,7460.183,6244.8699999999999,1938.0899999999999,28042.375,28041.204000000002,51115.849000000002,6836.7030000000004,558.94600000000003,51113.555999999997
0,190080.07999999993,455.565,2351.0529999999999,6454.0469999999996,9598.1720000000005,3788.6550000000002,28171.395,28169.865000000002,51559.701999999997,43.555999999999997,7931.415,51556.656000000003
1,186626.86299999995,1755.2650000000001,7166.2089999999998,874.447,12221.094999999999,4129.6210000000001,27438.668000000001,27436.921999999999,50820.311999999998,45.116,3922.598,50816.610000000001
2,179798.30599999952,3673.2460000000001,5234.0050000000001,4121.1440000000002,3186.7399999999998,8139.0280000000002,26769.737000000001,26767.775000000001,48586.205999999998,1689.337,3049.116,48581.972000000002
3,189427.2720000001,4293.0770000000002,5885.8789999999999,6809.4040000000005,1982.5640000000001,2822.1660000000002,27536.473999999998,27534.276000000002,51895.004000000001,2195.1489999999999,6583.4769999999999,51889.802000000003
4,192889.34500000038,3317.0830000000001,1361.136,5391.2309999999998,4580.8400000000001,1919.5239999999999,27729.037,27726.531999999999,53273.273000000001,7258.2650000000003,7065.2030000000004,53267.222000000002
5,192681.56600000075,6987.7349999999997,1535.4079999999999,7538.7759999999998,952.83900000000006,1184.6579999999999,27602.485000000001,27599.737000000001,53343.084999999999,7391.8249999999998,5208.6360000000004,53336.381000000001
6,190298.6240000005,3589.357,3501.0599999999999,4159.0720000000001,3153.3809999999999,8925.6260000000002,28050.235000000001,28047.310000000001,51792.800999999999,254.57900000000001,7039.5749999999998,51785.627999999997
