halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,2875.8930000000005,5.3559999999999999,261.44600000000003,159.83199999999999,1.6140000000000001,5.2469999999999999,446.54899999999998,446.54899999999998,746.73800000000006,5.3559999999999999,50.468000000000004,746.73800000000006
-4,188747.24300000007,297.27800000000002,10933.205,9293.5810000000001,6333.1040000000003,291.22399999999999,27623.042000000001,27622.814999999999,51529.114999999998,297.27800000000002,2997.8099999999999,51528.790999999997
-3,189424.3280000012,211.084,10384.888999999999,3717.7629999999999,3575.136,6983.3149999999996,28134.966,28134.488000000001,51288.103999999999,3811.0160000000001,1896.4570000000001,51287.110999999997
-2,187114.59799999942,1858.2180000000001,9510.6919999999991,6455.2079999999996,4927.5100000000002,4960.1639999999998,27753.715,27752.808000000001,50672.262000000002,1560.9559999999999,992.43700000000001,50670.629000000001
-1,188875.3449999995,2157.567,1982.2919999999999,4911.4219999999996,8572.6440000000002,4242.6639999999998,28042.375,28041.204000000002,51115.849000000002,120.419,8575.3539999999994,51113.555999999997
0,190080.07999999993,5536.6490000000003,5807.0429999999997,5119.2809999999999,837.75800000000004,9594.1679999999997,28171.395,28169.865000000002,51559.701999999997,1215.47,2512.0929999999998,51556.656000000003
1,186626.86299999995,3141.6689999999999,1346.8340000000001,9138.6139999999996,2202.6399999999999,7954.8549999999996,27438.668000000001,27436.921999999999,50820.311999999998,3666.3159999999998,2663.4229999999998,50816.610000000001
2,179798.30599999952,2386.8380000000002,742.00699999999995,5373.6210000000001,4305.1760000000004,2391.7330000000002,26769.737000000001,26767.775000000001,48586.205999999998,766.60400000000004,13126.637000000001,48581.972000000002
3,189427.2720000001,1722.117,1241.7329999999999,2519.8809999999999,9880.1440000000002,8284.5740000000005,27536.473999999998,27534.276000000002,51895.004000000001,898.37,6024.8969999999999,51889.802000000003
4,192889.34500000038,330.67000000000002,1933.8679999999999,4204.6319999999996,9642.1759999999995,8573.4570000000003,27729.037,27726.531999999999,53273.273000000001,5078.817,1129.6600000000001,53267.222000000002
5,192681.56600000075,4247.4840000000004,2860.8679999999999,3507.547,7182.1310000000003,5561.7560000000003,27602.485000000001,27599.737000000001,53343.084999999999,2255.3359999999998,5184.7560000000003,53336.381000000001
6,190298.6240000005,1502.4939999999999,929.45299999999997,7646.5290000000005,8740.8719999999994,4440.3209999999999,28050.235000000001,28047.310000000001,51792.800999999999,6742.3540000000003,620.62699999999995,51785.627999999997
7,189552.67300000065,6205.4319999999998,844.84699999999998,2051.1599999999999,11350.465,3168.607,27668.445,27665.249,51863.065000000002,818.01999999999998,6062.1509999999998,51855.233
8,190623.26800000062,5722.7629999999999,1897.3710000000001,3519.75,4442.9549999999999,1386.6780000000001,28084.367999999999,28080.915000000001,51871.067000000003,3050.8440000000001,10703.977999999999,51862.580000000002
9,189350.3060000001,3465.6889999999999,13245.376,9235.4850000000006,477.59399999999999,325.71600000000001,27893.891,27890.292000000001,51504.428,945.89599999999996,2870.6529999999998,51495.286
10,190746.19199999986,8025.8289999999997,1569.76,6138.3919999999998,2062.0120000000002,712.27999999999997,28054.694,28050.695,51948.205000000002,3947.9830000000002,8298.0210000000006,51938.321000000004
11,190098.1450000001,10201.115,6977.5529999999999,2737.7840000000001,526.66899999999998,2581.6089999999999,28087.623,28083.445,51643.870999999999,5906.3810000000003,1718.673,51633.421999999999
12,193376.8130000003,3687.902,3301.8359999999998,9069.8490000000002,2031.828,4265.1130000000003,27992.904999999999,27988.545999999998,53211.235000000001,732.21299999999997,7895.6090000000004,53199.777999999998
13,193744.1480000001,4409.1509999999998,2016.694,1883.605,9215.2060000000001,1180.8440000000001,28124.695,28119.287,53219.362999999998,4632.8149999999996,7735.3130000000001,53207.175000000003
14,190206.83399999994,4810.0730000000003,8648.6280000000006,11948.386,145.298,471.59100000000001,28200.602999999999,28185.599999999999,51542.690000000002,1049.827,3673.942,51530.196000000004
15,192905.8989999999,14430.638999999999,1105.3510000000001,2470.087,3724.627,1011.533,28098.281999999999,28070.438999999998,52861.114999999998,6622.0559999999996,1664.1559999999999,52847.614999999998
16,189184.51199999996,2089.5079999999998,10231.869000000001,4292.9570000000003,3201.9319999999998,6206.1019999999999,28438.991000000002,28399.081999999999,50809.311999999998,1162.088,3557.0010000000002,50795.669999999998
17,189801.27900000045,5666.7399999999998,9366.1579999999994,2793.0439999999999,4581.9369999999999,365.26900000000001,28006.928,27956.835999999999,51564.591,1282.616,6667.0950000000003,51550.063999999998
18,195046.81900000063,1750.711,1923.7940000000001,17561.189999999999,4693.7020000000002,1141.702,28317.248,28254.739000000001,53632.411,714.23699999999997,3440.4029999999998,53616.682000000001
19,194615.10500000004,2350.252,8840.8220000000001,3197.1210000000001,5304.7610000000004,5111.375,28113.128000000001,28039.087,53649.838000000003,5094.29,1282.114,53632.317999999999
20,187884.9480000003,9479.5599999999995,1596.8679999999999,9068.2999999999993,1792.8389999999999,3861.9229999999998,27811.544999999998,27726.432000000001,51035.125,1060.165,3434.3960000000002,51017.794999999998
21,190723.8040000001,1996.231,2335.8510000000001,7658.1589999999997,5243.9260000000004,580.62400000000002,28127.924999999999,28029.327000000001,51917.644,679.93700000000001,12254.809999999999,51899.370000000003
22,186619.01300000123,4553.2060000000001,2574.1680000000001,4399.9639999999999,199.43100000000001,5345.2209999999995,27571.419000000002,27461.865000000002,50738.438999999998,6653.5900000000001,6401.7269999999999,50719.983
23,190171.98399999985,4693.7749999999996,1929.2829999999999,9872.3539999999994,572.60900000000004,1760.9949999999999,27592.017,27470.865000000002,52308.364999999998,5146.5510000000004,6536.5150000000003,52288.654999999999
24,190329.90799999947,386.553,4023.8330000000001,4808.0020000000004,6839.7380000000003,2469.7649999999999,27808.296999999999,27674.514999999999,52065.868000000002,10609.075000000001,1598.6320000000001,52045.629999999997
25,192666.85399999985,1429.3330000000001,467.26299999999998,4060.7539999999999,13039.120000000001,1289.4280000000001,28581.476999999999,28431.616999999998,52323.826000000001,2737.6089999999999,8003.5820000000003,52302.845999999998
26,195669.1220000003,10999.266,4560.8729999999996,2818.4789999999998,3597.1909999999998,795.423,28472.554,28311.260999999999,53768.959999999999,84.281000000000006,8514.1229999999996,53746.711000000003
27,195541.49500000032,2082.2170000000001,4079.0790000000002,9771.9539999999997,502.76100000000002,9381.5390000000007,28819.877,28644.862000000001,53338.014999999999,4021.123,1584.7719999999999,53315.294999999998
28,191635.80700000018,133.86600000000001,9241.1650000000009,4128.2309999999998,1620.4079999999999,606.84400000000005,28970.636999999999,28783.379000000001,51406.964,2194.413,13165.504999999999,51384.394999999997
29,193255.4680000004,3236.0279999999998,360.46600000000001,5113.5600000000004,5742.3599999999997,10756.699000000001,29189.534,28988.610000000001,51915.220999999998,4163.5259999999998,1897.6389999999999,51891.826000000001
30,192876.1680000007,3314.9580000000001,12575.787,5901.4849999999997,1829.8420000000001,358.5,29014.417000000001,28802.471000000001,51923.116999999998,393.33499999999998,6863.1760000000004,51899.080000000002
31,191739.14700000046,1180.1569999999999,7536.5249999999996,2519.3020000000001,5405.6030000000001,4859.5910000000003,28739.293000000001,28517.627,51743.248,622.649,8896.4629999999997,51718.688999999998
32,185723.63000000027,339.73700000000002,6015.5739999999996,2097.0320000000002,9116.2870000000003,1404.347,26013.029999999999,25802.044000000002,52188.019,9538.1409999999996,1046.818,52162.601000000002
33,186561.25700000007,311.18099999999998,5642.9210000000003,2124.0309999999999,5148.8549999999996,3302.9659999999999,27158.784,26927.592000000001,51256.434999999998,3145.306,10312.272000000001,51230.913999999997
34,195242.29400000034,2333.6979999999999,5117.2879999999996,12498.727999999999,2294.0590000000002,3651.8440000000001,29101.681,28842.610000000001,53016.798999999999,3752.27,1643.578,52989.739000000001
35,192056.8190000002,1036.6279999999999,308.49400000000003,11108.77,4074.4690000000001,2234.2310000000002,28419.705000000002,28156.030999999999,52272.425999999999,10319.545,1881.403,52245.116999999998
36,195970.12299999985,14242.413,985.84400000000005,2036.3050000000001,1284.9069999999999,1148.9059999999999,28601.174999999999,28325.23,53907.654999999999,10047.772000000001,1511.125,53878.792000000001
37,193907.7120000004,7911.8530000000001,380.86000000000001,3865.8910000000001,10160.775,4325.1710000000003,27681.838,27404.672999999999,54040.997000000003,2405.1320000000001,1719.117,54011.404999999999
38,193717.8700000002,7548.3329999999996,330.48399999999998,15608.110000000001,3285.9969999999998,491.03199999999998,29067.592000000001,28766.148000000001,52295.413,86.174000000000007,3972.4520000000002,52266.135000000002
39,191138.46599999937,3423.453,1713.914,3709.4299999999998,1791.4490000000001,2701.7080000000001,29118.248,28805.589,51175.817000000003,2137.2440000000001,15415.102999999999,51146.510999999999
40,190574.19299999933,136.99799999999999,3007.8879999999999,3127.723,3829.0889999999999,2085.6460000000002,28781.833999999999,28465.976999999999,51308.067000000003,8075.2950000000001,10477.645,51278.029999999999
41,191666.58999999997,8754.9670000000006,3406.2939999999999,4419.7380000000003,3459.3499999999999,3231.3389999999999,28750.348000000002,28434.364000000001,51816.232000000004,1722.384,5886.2920000000004,51785.281000000003
42,192489.20400000052,11821.450999999999,3331.9400000000001,7296.5219999999999,100.119,2973.4140000000002,28617.138999999999,28302.468000000001,52205.597000000002,168.86799999999999,5498.3779999999997,52173.309000000001
43,194274.97300000038,2990.6170000000002,286.61099999999999,4070.2460000000001,5748.3010000000004,1380.0039999999999,29457.024000000001,29132.800999999999,52094.970999999998,5499.1989999999996,11553.539000000001,52061.659
44,191962.75300000096,6581.5119999999997,590.096,12804.637000000001,2243.9349999999999,207.494,29491.612000000001,29166.82,51036.381000000001,934.06399999999996,7903.1620000000003,51003.040000000001
45,192288.3180000004,3515.9009999999998,719.81600000000003,2406.4879999999998,4010.5410000000002,13902.206,29626.821,29300.400000000001,51043.875,2474.1550000000002,4278.1660000000002,51009.949000000001
46,193766.15600000042,7271.5799999999999,8.7089999999999996,3413.7139999999999,11835.610000000001,977.51599999999996,29359.580000000002,29035.760999999999,51929.517,2957.0189999999998,5082.8190000000004,51894.328999999998
