min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
5600,9602.907999999998,1,1,1,1,1,1,1,1,1,1,1
5601,10729.534,1,1,1,1,1,1,1,1,1,1,1
5602,10928.897,1,1,1,1,1,1,1,1,1,1,1
5603,10915.038000000002,1,1,1,1,1,1,1,1,1,1,1
5604,10845.641000000003,1,1,1,1,1,1,1,1,1,1,1
5605,10290.316999999997,1,1,1,1,1,1,1,1,1,1,1
5606,10579.796,1,1,1,1,1,1,1,1,1,1,1
5607,11407.755000000001,1,1,1,1,1,1,1,1,1,1,1
5608,11240.828999999998,1,1,1,1,1,1,1,1,1,1,1
5609,11000.15,1,1,1,1,1,1,1,1,1,1,1
5610,10499.645999999999,1,1,1,1,1,1,1,1,1,1,1
5611,9652.675,1,1,1,1,1,1,1,1,1,1,1
5612,11141.811,1,1,1,1,1,1,1,1,1,1,1
5613,11125.675000000003,1,1,1,1,1,1,1,1,1,1,1
5614,10369.883000000003,1,1,1,1,1,1,1,1,1,1,1
5615,11177.65,1,1,1,1,1,1,1,1,1,1,1
5616,11171.740999999996,1,1,1,1,1,1,1,1,1,1,1
5617,11108.378000000004,1,1,1,1,1,1,1,1,1,1,1
5618,10437.58,1,1,1,1,1,1,1,1,1,1,1
5619,10300.556999999995,1,1,1,1,1,1,1,1,1,1,1
5620,11237.324999999995,1,1,1,1,1,1,1,1,1,1,1
5621,10656.946000000002,1,1,1,1,1,1,1,1,1,1,1
5622,10826.588000000003,1,1,1,1,1,1,1,1,1,1,1
5623,10366.292999999998,1,1,1,1,1,1,1,1,1,1,1
5624,10270.927000000001,1,1,1,1,1,1,1,1,1,1,1
5625,10873.038999999999,1,1,1,1,1,1,1,1,1,1,1
5626,11744.336999999996,1,1,1,1,1,1,1,1,1,1,1
5627,10236.250000000002,1,1,1,1,1,1,1,1,1,1,1
5628,11261.741,1,1,1,1,1,1,1,1,1,1,1
5629,11663.897,1,1,1,1,1,1,1,1,1,1,1
5630,10544.467999999997,1,1,1,1,1,1,1,1,1,1,1
5631,11694.287,1,1,1,1,1,1,1,1,1,1,1
5632,10937.681,1,1,1,1,1,1,1,1,1,1,1
5633,10430.033,1,1,1,1,1,1,1,1,1,1,1
5634,11680.465000000002,1,1,1,1,1,1,1,1,1,1,1
5635,10312.572,1,1,1,1,1,1,1,1,1,1,1
5636,11297.863999999998,1,1,1,1,1,1,1,1,1,1,1
5637,12402.331000000002,1,1,1,1,1,1,1,1,1,1,1
5638,10574.057000000003,1,1,1,1,1,1,1,1,1,1,1
5639,10330.506000000001,1,1,1,1,1,1,1,1,1,1,1
5640,10833.633999999996,1,1,1,1,1,1,1,1,1,1,1
5641,11198.365999999998,1,1,1,1,1,1,1,1,1,1,1
5642,11830.672,1,1,1,1,1,1,1,1,1,1,1
5643,11127.038999999999,1,1,1,1,1,1,1,1,1,1,1
5644,10859.034,1,1,1,1,1,1,1,1,1,1,1
5645,11731.622,1,1,1,1,1,1,1,1,1,1,1
5646,10442.266000000001,1,1,1,1,1,1,1,1,1,1,1
5647,10796.865999999996,1,1,1,1,1,1,1,1,1,1,1
5648,11420.564000000002,1,1,1,1,1,1,1,1,1,1,1
5649,9958.485999999999,1,1,1,1,1,1,1,1,1,1,1
5650,11137.56,1,1,1,1,1,1,1,1,1,1,1
5651,11007.564999999997,1,1,1,1,1,1,1,1,1,1,1
5652,12129.612000000003,1,1,1,1,1,1,1,1,1,1,1
5653,11301.001999999999,1,1,1,1,1,1,1,1,1,1,1
5654,11247.612999999998,1,1,1,1,1,1,1,1,1,1,1
5655,10470.866999999998,1,1,1,1,1,1,1,1,1,1,1
5656,11821.141000000001,1,1,1,1,1,1,1,1,1,1,1
5657,10244.074,1,1,1,1,1,1,1,1,1,1,1
5658,11159.602,1,1,1,1,1,1,1,1,1,1,1
5659,11270.090999999997,1,1,1,1,1,1,1,1,1,1,1
5660,10296.093,1,1,1,1,1,1,1,1,1,1,1
5661,12144.954,1,1,1,1,1,1,1,1,1,1,1
5662,10532.601000000002,1,1,1,1,1,1,1,1,1,1,1
5663,11070.936999999998,1,1,1,1,1,1,1,1,1,1,1
5664,11887.020000000002,1,1,1,1,1,1,1,1,1,1,1
5665,11010.283000000003,1,1,1,1,1,1,1,1,1,1,1
5666,10639.626,1,1,1,1,1,1,1,1,1,1,1
5667,9955.5,1,1,1,1,1,1,1,1,1,1,1
5668,11319.886,1,1,1,1,1,1,1,1,1,1,1
5669,10245.717,1,1,1,1,1,1,1,1,1,1,1
5670,10836.300000000001,1,1,1,1,1,1,1,1,1,1,1
5671,11037.539000000004,1,1,1,1,1,1,1,1,1,1,1
5672,11531.174000000003,1,1,1,1,1,1,1,1,1,1,1
5673,10787.941000000003,1,1,1,1,1,1,1,1,1,1,1
5674,10325.367999999997,1,1,1,1,1,1,1,1,1,1,1
