HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
6,66,916469.6589999984,1,0,1,0,1,1,0,0,0,0,0,1,0,0
7,66,411564.29600000015,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,66,752719.0129999978,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,66,869377.8409999998,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,66,705569.6440000022,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,66,142402.24199999965,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,66,553723.0260000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,66,735688.5860000006,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,67,615985.4169999982,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,67,1667103.387999997,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,67,482220.3479999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,67,225987.0049999995,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,67,97005.40799999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,67,12826.157999999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,67,895693.3119999972,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,67,354521.59900000104,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,67,753074.5250000008,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,67,884541.4210000014,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,67,776165.5120000028,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,67,100700.3879999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,67,627751.9039999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,67,764303.206,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,68,248979.86400000006,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,68,950165.1589999998,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2,68,556613.6289999991,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,68,516348.38999999984,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,68,25135.302999999974,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,68,3327.764000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,68,1077235.084000001,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7,68,854249.7199999987,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,68,274711.73899999994,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,68,1130657.7100000037,0,1,0,0,1,0,0,1,1,0,0,0,0,0
10,68,692269.1760000009,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,68,42204.29999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,68,158508.2000000007,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,68,1601827.5219999973,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,69,289257.5549999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,69,994614.2469999975,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,69,633051.4980000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,69,653041.0920000009,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,69,54436.89899999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,69,7184.50799999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,69,1302469.840999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0
7,69,987765.2580000011,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,69,298122.7780000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,69,1254936.3419999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,604043.4679999995,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,69,114943.07899999968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69,226250.32200000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,69,1584876.2350000015,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,70,147327.59700000015,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,70,574601.8059999988,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,70,429696.2239999979,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3,70,377365.0709999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,70,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,70,21326.116000000035,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,70,750774.870000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,70,656130.3629999971,1,1,1,0,1,0,0,0,0,0,0,0,0,0
8,70,132338.90499999977,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,70,818990.6790000037,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,70,412715.5140000031,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,70,34881.235000000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,70,113317.49700000082,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,70,1098420.7440000004,1,1,1,1,0,0,0,1,0,0,0,0,0,0
0,71,115434.55600000024,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,71,181071.23700000002,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,71,49210.36099999985,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,71,117744.43200000004,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,71,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,71,20717.682999999986,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,71,256611.32899999915,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,71,142560.62099999998,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,71,102443.42999999972,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,71,62088.26500000018,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,71,40455.65100000011,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,71,34723.02100000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,71,11377.25499999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,71,155536.27099999992,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,72,102116.95399999972,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,72,175983.89799999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,72,32907.45599999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,72,114927.47900000055,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,72,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,72,4453.6380000000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,72,250360.87999999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,72,119435.65799999959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,72,101342.98100000009,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,72,57662.41700000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,37887.13999999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,72,34526.83500000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,72,11093.732999999922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,72,133497.23200000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,96987.07600000028,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,73,172158.94600000032,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2,73,30086.078999999867,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,73,111933.49100000031,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,73,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,73,1606.208000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,73,244028.39799999943,1,0,1,0,1,1,0,0,0,0,1,1,0,0
7,73,114051.67700000019,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,73,98237.65500000026,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,73,57015.85200000006,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,73,37415.15700000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,73,33453.89600000013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,73,10951.288999999942,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,73,129370.44199999985,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,74,100668.4930000002,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,74,349626.08300000103,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,74,293729.15700000094,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,74,312534.8580000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,74,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,74,1515.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,74,553851.4570000006,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,74,467969.7339999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,74,102015.94400000031,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,74,610717.2429999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,74,343422.46899999777,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,74,34876.3150000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,74,11190.470999999956,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,74,871071.9149999984,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,75,101337.15400000023,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,75,337651.03000000044,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2,75,273860.75200000167,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,75,297299.6770000003,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,75,1617.6820000000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,75,532180.588,1,0,1,0,1,1,0,0,0,0,1,1,0,0
7,75,442399.24099999864,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,75,102488.51300000004,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,75,568941.3509999965,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,75,320244.28899999504,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,75,34845.552000000025,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,75,11654.396999999937,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,75,814881.4489999941,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,76,106406.85800000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,76,263227.3310000002,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,76,106292.21999999981,0,1,0,0,0,1,1,0,0,0,0,0,0,0
3,76,160453.03699999998,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,76,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,76,1258.4409999999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,76,345603.0799999991,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,76,213893.3999999997,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,76,107177.27799999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,76,204351.8229999998,0,1,0,0,0,0,0,0,0,1,1,0,0,0
10,76,102696.08499999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,76,34333.039000000084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,76,43822.262999999926,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,76,297262.2100000002,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,77,150583.43099999987,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,77,656899.6870000007,0,1,1,1,0,1,1,0,0,0,0,0,0,0
2,77,324738.8130000002,0,1,1,0,0,1,1,0,0,0,0,0,0,0
3,77,228394.36300000024,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,77,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,77,1353.1649999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,77,619824.9600000011,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,77,452805.2549999995,1,0,0,0,0,0,1,0,1,0,0,0,0,0
8,77,147640.84000000037,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,77,560231.9069999986,0,1,0,0,0,0,0,1,1,1,1,0,0,0
10,77,173689.20999999976,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11,77,33825.56400000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,77,292626.77500000043,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,77,516980.3129999992,1,1,0,1,0,0,0,1,0,1,0,0,0,0
0,78,356663.414,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,78,1223569.7939999984,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,78,534340.7399999993,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,78,231179.1950000009,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,78,166.64300000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,78,771793.096999999,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,78,464259.95599999995,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,78,406316.02599999926,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,78,917091.8770000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,78,504171.9430000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,78,33797.011000000064,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,78,580492.0669999985,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78,690379.1989999989,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,79,561399.4389999982,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,79,1731813.9930000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,79,685206.4170000011,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,79,235887.621,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,79,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,79,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,79,913841.2229999987,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,79,456494.46700000006,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,79,661602.5119999978,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,79,1175928.7479999985,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,79,810131.7770000024,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,79,34024.25100000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,79,799817.4980000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,79,852183.9510000014,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,80,585104.2529999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,80,1794695.5900000008,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,80,708634.773000001,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,80,231427.90199999948,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,80,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,80,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,80,920092.6269999986,0,0,1,0,0,1,0,0,0,0,0,1,0,0
7,80,447940.1830000006,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,80,694189.9579999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,80,1216543.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,80,853901.2169999989,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,80,33556.84500000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,80,835217.2120000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,80,867363.2009999984,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,81,576201.7519999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,81,1797436.308999999,1,1,0,1,1,0,1,0,0,0,0,0,0,0
2,81,724808.0419999994,0,1,1,0,0,0,1,0,0,0,0,0,0,0
3,81,233858.34800000052,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,81,925588.3920000006,1,0,1,0,0,1,0,0,0,0,0,1,1,0
7,81,463423.9329999993,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8,81,683845.539999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,81,1242740.318000002,0,0,0,0,0,0,0,1,1,1,1,0,0,0
10,81,846019.456999998,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,81,33957.18400000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,81,850929.2840000024,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,81,869861.8599999988,1,1,0,1,0,1,0,0,0,1,0,1,0,0
0,82,542905.3069999989,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,82,1592348.9549999991,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,82,589047.1390000012,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,82,224410.52700000073,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,82,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,82,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,82,851171.3549999999,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,82,395147.88399999915,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,82,642437.6879999992,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,82,1018646.7069999996,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,82,764892.8449999981,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,82,33822.278000000086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,82,689578.7409999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,82,796022.0309999991,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,83,556453.7439999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,83,1496094.3680000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,83,454866.9799999983,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,83,233813.58400000038,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,83,850908.6169999978,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,83,348873.052999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,83,656648.2989999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,83,800659.9460000022,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,83,730849.2179999988,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,83,34169.124000000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,83,537771.7779999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,83,784131.4369999992,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,84,496654.5829999991,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,84,1263252.4880000036,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,84,448641.8109999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,84,152101.5990000001,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,84,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,84,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,84,580365.6499999993,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,84,182579.65200000067,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,84,599608.0709999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,84,790038.4630000007,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,84,721031.349,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,84,34270.478000000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,84,529139.7479999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,84,586971.2070000005,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,85,80773.50699999997,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,85,191208.91300000026,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2,85,69265.7929999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,85,64639.575999999906,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,85,157317.95800000007,1,0,0,0,1,0,0,0,0,0,1,0,0,0
7,85,77181.91800000014,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,85,91634.985,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,85,129779.78699999957,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,85,101307.28999999989,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,85,14623.703000000023,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,85,54963.6989999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,85,145064.97500000038,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,86,327590.2239999996,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,86,817184.5670000013,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2,86,292362.899,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,86,148381.17900000076,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,86,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,86,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,86,458436.1669999999,1,0,1,0,1,1,0,0,0,0,0,1,0,0
7,86,177670.44500000068,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,86,388571.98000000056,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,86,525395.48,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,86,457899.1270000011,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,86,33337.84500000013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,86,312857.46300000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,86,449206.1110000004,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,87,499962.4399999977,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,87,1271787.5229999966,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,87,455544.68099999835,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,87,147394.2260000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,87,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,87,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,87,572160.7829999981,0,0,1,0,0,1,0,0,0,0,1,1,0,0
7,87,175040.64800000042,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,87,606132.279000002,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,87,802051.5720000021,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,87,732534.5989999991,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,87,33546.00000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,87,538684.129000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,87,585033.775000001,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,88,528756.7099999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,88,1283109.5219999978,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,88,505261.21799999784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,88,200695.15900000068,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,88,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,88,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,88,826748.5949999997,0,0,1,0,0,1,0,0,0,0,0,1,0,0
7,88,269505.19000000076,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,88,765532.270000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,88,980119.6449999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,780832.6549999991,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,88,34174.22100000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,88,517501.93800000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,88,826675.9359999993,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,89,698068.9809999996,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,89,1754847.273000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,89,850968.7989999971,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,89,516839.9360000005,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,89,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,89,34145.85600000004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,89,1445503.2939999981,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,89,902776.1690000003,1,1,1,0,1,0,0,1,0,0,0,0,0,0
8,89,819734.284000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,89,1682835.2700000035,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,89,1142835.718999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,89,52016.27199999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,89,530549.8170000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,89,1912713.9159999979,1,1,1,1,0,1,0,0,0,0,0,1,0,0
0,90,781863.2060000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,1851586.8550000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,90,877920.9269999996,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,90,510868.3679999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,90,76346.65399999972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,90,1323594.4470000016,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,90,983922.9159999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,90,745375.8309999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,90,1650195.169000002,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,90,1130737.2299999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,90,126262.53599999941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,90,550486.3749999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,90,1827105.4399999962,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,91,720624.2759999983,0,0,1,0,0,1,1,1,0,1,0,1,0,0
1,91,1863725.085999995,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2,91,884241.5119999998,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3,91,521968.257000001,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,91,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91,58789.94799999996,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,91,1348574.1390000016,1,0,1,0,1,1,0,0,0,0,1,1,0,0
7,91,977354.692,1,1,1,0,1,0,1,1,0,0,0,0,0,0
