HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
13,1,147266.23299999986,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,2,98767.31500000045,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,2,181577.41700000002,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,36402.582999999846,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2,120303.33500000038,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,259302.58399999954,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2,124535.98600000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2,101354.79300000025,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,2,73111.12199999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2,46496.93300000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2,34325.462000000116,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,11321.89899999991,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,150910.60799999983,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,99174.26000000039,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,181387.00499999992,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,36358.20599999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,120699.45700000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,259429.88399999993,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,3,124291.10600000016,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,3,101713.55800000047,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,3,73010.39399999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,46370.467999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,34765.98500000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,3,11220.222999999938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,150164.49999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,99642.48300000034,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,4,189911.54699999932,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,4,43818.56399999984,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,4,121258.1870000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,262805.6039999999,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,4,128708.94099999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,102123.57400000023,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,4,85339.1670000001,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,4,49085.287000000055,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,4,34602.8850000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,19647.07399999986,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,153608.2070000003,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,5,99276.17700000039,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,5,182419.91200000021,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2,5,36679.195999999865,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,5,121021.62199999997,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,260655.99099999978,1,0,1,0,1,1,0,0,0,0,0,1,0,0
7,5,125249.4839999999,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,5,101937.72400000041,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,5,73690.87199999984,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,5,46753.95500000017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,5,34702.951000000125,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,5,11276.81699999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,151870.79999999984,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,6,223681.37600000063,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,6,585918.9490000022,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2,6,106261.52499999982,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,6,198568.75100000016,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,564451.0559999989,0,0,1,0,1,1,0,0,0,0,1,1,0,0
7,6,284547.8570000003,0,0,0,0,0,0,1,1,0,0,0,0,0,0
8,6,240632.70700000058,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,6,192320.68899999984,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,6,164247.27100000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0
