halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,750.3159999999999,28.873999999999999,8.9220000000000006,131.78800000000001,2.677,15.573,48.368000000000002,36.683,239.601,9.327,2.839,225.66499999999999
-4,49135.22599999997,389.42500000000001,1463.8119999999999,7827.0529999999999,487.67399999999998,193.32499999999999,3082.73,2401.4270000000001,16347.058999999999,973.56200000000001,964.62,15004.539000000001
-3,48714.32300000007,201.90899999999999,291.00299999999999,7901.835,2776.4470000000001,711.21299999999997,2938.0529999999999,1578.097,16049.902,1401.9839999999999,83.694999999999993,14780.186
-2,47832.12000000001,989.02700000000004,600.53200000000004,7850.3249999999998,591.27499999999998,2022.8920000000001,1948.847,912.79300000000001,15685.071,2216.4160000000002,564.08399999999995,14450.857
-1,48515.41500000009,1914.001,68.480000000000004,7890.0379999999996,801.10599999999999,456.75,775.08699999999999,2974.3560000000002,16046.887000000001,2388.4090000000001,538.58199999999999,14661.718999999999
0,47204.86200000003,15.766,44.289999999999999,7907.1170000000002,380.03300000000002,1866.3150000000001,2494.1170000000002,306.76499999999999,16101.618,1.3240000000000001,3438.607,14648.909
1,46215.49000000008,485.93099999999998,61.625,7828.8720000000003,380.80599999999998,1071.9069999999999,637.19899999999996,337.69,15873.672,4879.9049999999997,86.981999999999999,14570.901
2,44488.687,885.99900000000002,93.974000000000004,7675.0940000000001,307.56200000000001,1330.2850000000001,651.08199999999999,277.94400000000002,15195.617,1316.7860000000001,2868.9560000000001,13885.387000000001
3,46515.56100000006,241.828,436.637,7950.0150000000003,999.98699999999997,220.15000000000001,1519.8789999999999,2333.232,16032.035,1578.7639999999999,673.11900000000003,14529.916999999999
4,47337.817000000025,597.79499999999996,581.85299999999995,7990.2060000000001,1899.556,1445.98,392.13400000000001,1723.627,16319.558999999999,507.947,978.07600000000002,14901.083000000001
5,47179.999999999956,234.51499999999999,791.88599999999997,7918.4129999999996,2305.0529999999999,578.32600000000002,2394.3789999999999,181.74100000000001,16243.630999999999,1056.498,552.851,14922.706
6,46297.71700000008,1587.2249999999999,1016.34,7864.9700000000003,514.41999999999996,90.236000000000004,2065.442,648.09299999999996,15884.045,1965.3389999999999,145.15700000000001,14516.450999999999
7,46547.66000000002,681.577,109.467,7821.3450000000003,845.93799999999999,290.06799999999998,818.23199999999997,727.20600000000002,16002.546,3163.2080000000001,1393.7380000000001,14694.335999999999
8,46876.159000000065,249.24799999999999,2055.261,8061.5969999999998,2048.1970000000001,161.81999999999999,253.727,3110.5210000000002,16006.393,135.744,128.995,14664.655000000001
9,46474.46100000001,2372.6799999999998,718.52999999999997,8018.0379999999996,975.77200000000005,938.85299999999995,1513.721,1287.654,15893.538,184.53700000000001,102.83199999999999,14468.306
10,46746.487000000016,2690.3629999999998,821.20899999999995,8108.777,261.47899999999998,607.23900000000003,435.01299999999998,2719.402,15884.347,250.15199999999999,344.82600000000002,14623.681
11,46413.94800000002,366.90899999999999,1827.471,7937.3580000000002,493.71199999999999,1333.703,369.67099999999999,3113.7600000000002,15847.563,209.18000000000001,364.98000000000002,14549.641
12,69957.71500000003,373.33999999999997,3945.681,28821.728999999999,45.729999999999997,1024.5239999999999,438.50400000000002,1029.1410000000001,16192.852000000001,3278.759,36.027999999999999,14771.427
13,146512.86400000006,6297.7619999999997,2461.4720000000002,32774.775000000001,1620.5250000000001,388.51299999999998,39049.680999999997,30307.006000000001,16235.877,2070.0799999999999,485.87700000000001,14821.298000000001
14,292498.2300000002,3544.0340000000001,4079.752,30711.59,14324.255999999999,9563.0640000000003,115041.988,89962.447,9481.6970000000001,1483.4179999999999,9991.9770000000008,4314.0069999999996
15,288086.73599999945,6799.8969999999999,4344.6559999999999,10252.144,22322.778999999999,18490.083999999999,113287.23699999999,87354.622000000003,10537.243,4288.8549999999996,2654.9949999999999,7754.2219999999998
16,265868.62999999954,3693.1379999999999,345.52999999999997,12041.578,4489.0929999999998,797.90899999999999,101380.639,78898.774999999994,22854.717000000001,8602.7669999999998,3998.9920000000002,28765.491999999998
17,268222.49099999986,16639.981,1784.1900000000001,11846.936,1510.797,18284.725999999999,103121.969,80408.145999999993,7717.4920000000002,15158.287,3746.683,8003.2830000000004
18,283233.8029999997,3422.9690000000001,4293.9809999999998,16150.669,5506.4059999999999,33292.997000000003,109536.40300000001,85222.159,3913.6770000000001,3986.701,5162.6930000000002,12745.147999999999
19,326294.2689999993,5205.9009999999998,835.24900000000002,16335.684999999999,4344.0259999999998,43644.985000000001,108685.58100000001,84257.110000000001,13376.869000000001,1302.027,15159.749,33147.088000000003
20,283726.63799999934,9488.1650000000009,9269.2569999999996,6519.4650000000001,7559.317,13843.794,110808.52499999999,86985.191999999995,4163.1390000000001,10728.544,17935.271000000001,6425.9700000000003
21,287797.4799999997,3843.8119999999999,4512.6499999999996,5269.3100000000004,5646.2510000000002,4833.8919999999998,120216.808,93758.241999999998,9245.6229999999996,8942.0570000000007,19194.631000000001,12334.205
22,266552.7880000001,7359.4560000000001,1855.0050000000001,3848.6909999999998,11947.842000000001,3971.527,114755.159,89514.275999999998,8788.2980000000007,17203.525000000001,847.08100000000002,6461.9290000000001
23,251131.14900000024,2556.373,5716.4340000000002,5221.8239999999996,8215.4519999999993,11002.983,105683.91499999999,82786.131999999998,5580.6859999999997,9186.4860000000008,10791.200000000001,4389.6639999999998
