halfhour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-5,750.3159999999999,10.153,38.497999999999998,131.78800000000001,5.6310000000000002,2.3039999999999998,48.368000000000002,36.683,239.601,0.38200000000000001,11.243,225.66499999999999
-4,49135.22599999997,141.40600000000001,397.411,7827.0529999999999,1225.8340000000001,959.33600000000001,3082.73,2401.4270000000001,16347.058999999999,839.97500000000002,908.45600000000002,15004.539000000001
-3,48714.32300000007,2443.866,1601.5799999999999,7901.835,103.458,14.81,1097.0239999999999,1533.7529999999999,16049.902,2955.0700000000002,232.839,14780.186
-2,47832.12000000001,3028.915,673.04899999999998,7850.3249999999998,322.25299999999999,787.15499999999997,1390.037,657.84699999999998,15685.071,178.51599999999999,2808.0940000000001,14450.857
-1,48515.41500000009,4597.6869999999999,1056.923,7890.0379999999996,346.73599999999999,60.283999999999999,127.791,362.75299999999999,16046.887000000001,1340.1959999999999,2024.402,14661.718999999999
0,47204.86200000003,1199.5630000000001,960.18499999999995,7907.1170000000002,1541.338,457.81900000000002,728.27999999999997,1820.4159999999999,16101.618,1193.28,646.33699999999999,14648.909
1,46215.49000000008,1919.269,13.93,7828.8720000000003,990.96699999999998,1068.2080000000001,1104.981,1513.8920000000001,15873.672,74.122,1256.675,14570.901
2,44488.687,622.00300000000004,1800.0799999999999,7675.0940000000001,1354.5060000000001,660.83100000000002,594.322,929.98599999999999,15195.617,701.41300000000001,1069.4490000000001,13885.387000000001
3,46515.56100000006,544.23000000000002,1473.23,7950.0150000000003,2317.7579999999998,795.27499999999998,229.80500000000001,1441.3099999999999,16032.035,480.54199999999997,721.44500000000005,14529.916999999999
4,47337.817000000025,859.86300000000006,524.68299999999999,7990.2060000000001,2652.2049999999999,1773.4559999999999,362.077,309.70499999999998,16319.558999999999,1358.673,286.30599999999998,14901.083000000001
5,47179.999999999956,256.16199999999998,268.53100000000001,7918.4129999999996,40.311,2426.2809999999999,1788.047,372.101,16243.630999999999,1047.7360000000001,1896.0820000000001,14922.706
6,46297.71700000008,2176.6370000000002,861.71900000000005,7864.9700000000003,381.08199999999999,1015.168,1606.604,252.78399999999999,15884.045,1239.1849999999999,499.07100000000003,14516.450999999999
7,46547.66000000002,1033.078,922.33699999999999,7821.3450000000003,1114.8320000000001,113.26900000000001,2528.9319999999998,785.12,16002.546,661.779,870.08600000000001,14694.335999999999
8,46876.159000000065,1029.5840000000001,1531.8979999999999,8061.5969999999998,643.37400000000002,654.04600000000005,603.72299999999996,1146.0050000000001,16006.393,1937.1279999999999,597.755,14664.655000000001
9,46474.46100000001,1544.4449999999999,2471.136,8018.0379999999996,388.73200000000003,1726.4369999999999,632.59199999999998,169.078,15893.538,407.834,754.32399999999996,14468.306
10,46746.487000000016,1604.7249999999999,1729.1130000000001,8108.777,284.11599999999999,70.284999999999997,1316.836,1017.359,15884.347,1183.155,924.09299999999996,14623.681
11,46413.94800000002,41.109000000000002,219.697,7937.3580000000002,1599.7809999999999,1042.193,1658.796,1541.2950000000001,15847.563,868.01199999999994,1108.5029999999999,14549.641
12,69957.71500000003,253.66900000000001,479.00400000000002,28821.728999999999,1379.4860000000001,3634.6570000000002,714.37300000000005,1020.087,16192.852000000001,1248.6310000000001,1441.8,14771.427
13,146512.86400000006,2946.7600000000002,3791.4319999999998,32774.775000000001,57.042000000000002,3690.8330000000001,39049.680999999997,30307.006000000001,16235.877,1680.9369999999999,1157.223,14821.298000000001
14,292498.2300000002,519.93200000000002,7547.9430000000002,30711.59,2523.9929999999999,7233.7309999999998,115041.988,89962.447,2938.9169999999999,7757.4459999999999,14543.333000000001,13716.912
15,288086.73599999945,9475.4159999999993,13115.733,2468.9989999999998,11496.066000000001,11879.522000000001,113287.23699999999,87354.622000000003,13861.780000000001,5235.7539999999999,15105.532999999999,4806.0739999999996
16,265868.62999999954,6159.4520000000002,255.63200000000001,13807.911,22507.860000000001,4414.0749999999998,101380.639,78898.774999999994,30567.186000000002,1980.9200000000001,4116.1419999999998,1780.039
17,268222.49099999986,26989.891,5562.3389999999999,1917.692,1679.8510000000001,4068.348,103121.969,80408.145999999993,31698.277999999998,3316.3989999999999,3949.1480000000001,5510.4309999999996
18,283233.8029999997,2205.7539999999999,16419.434000000001,12220.41,3499.7979999999998,11973.312,109536.40300000001,85222.159,12607.921,27702.195,255.90899999999999,1590.508
19,326294.2689999993,109.19199999999999,29762.521000000001,6273.7139999999999,23116.764999999999,21888.251,108685.58100000001,84257.110000000001,11601.605,11879.610000000001,17761.150000000001,10958.77
